categary_name,ch_id,ch_title,commentCount,country,dislikeCount,favoriteCount,likeCount,publised_date,v_id,v_title,viewCount
Sports,UCnytKFJthNMt9_z3LHNACtA,サッカーキング,18,JP,56,0,284,2019-01-28T18:22:29.000Z,kCntBrinmLw,最強の敵！ 日本代表vsイラン代表戦を展望＆振り返り 視聴者と盛り上がるLIVE番組｜#みんなのコメスタ 2019.01.28,140122
Sports,UC6VjNLslXbb6Stl0I2MkQWA,ガーリィレコードチャンネル,517,JP,25,0,2880,2019-01-31T08:30:02.000Z,fQlroYMzNkY,犬デブ3,110359
Sports,UC144C9gTfqAx64pZhtfFgew,Rikuto AF,458,JP,15,0,613,2019-01-29T09:00:01.000Z,1B4Lu0GMvbE,【NBA】オールスターのリザーブ誰かなぁ〜（予想）,39075
Sports,UCMjC6HY522EWIjKV3YZI3MA,杉村良一,,JP,16,0,184,2019-01-29T00:45:51.000Z,XdOal5P2f-A,手首のコッキングのタメと、リリースのタイミングで飛ばす練習法！,44107
Sports,UCN7zL9IXNqxZDMIjlih1_Mw,クニヨシTV from 天晴,730,JP,59,0,934,2019-01-31T11:10:50.000Z,sYTOD_rGQx8,タケトラvs守備猿vs国吉監督！ロンティーで勝ったらチャンネルGET…。,67178
Sports,UCu8gwsDtFdZh5QzHEr5Fqtg,さなびっち【南沙奈】競馬予想ch,62,JP,83,0,177,2019-01-30T17:56:34.000Z,tzhRinGf4yk,競馬に人生かけてるけど、根岸Sの日が特大万馬券半端ないって!!,18144
Sports,UCQ490TbadENY2fg_9P7NhNw,黒砂中,1308,JP,158,0,2531,2019-01-29T10:00:20.000Z,yQweAExx53A,冨安健洋がイランに完全勝利し続ける動画。恐るべき二十歳CB,426563
Sports,UCcFqQcSh5U4lkAU2QXHL6-g,ringolf - ゴルフと女子とラウンド動画 - リンゴルフ,24,JP,17,0,131,2019-01-31T08:00:02.000Z,PgPUpF0Vvys,なかなか起きないことが何度も起きた！【ringolfオープン美野里#4】,19580
Sports,UCgQhtpvOK3s2sVlljLwCSOg,戸田和幸,56,JP,14,0,577,2019-01-30T09:03:23.000Z,h-XWjQEqzPU,アジアカップ準決勝  カタール vs UAE (4-0) レビュー,28585
Sports,UCMVVGkL1FuB6_-9J4P9aoLg,Channel MAKIHIKA,251,JP,60,0,1049,2019-01-27T10:00:03.000Z,QP_b7XF53NE,【ドッキリ】初対面！コラボ撮影の時にウザいことしまくったらやばい展開に・・・篇,92607
Sports,UCMyEc2HFNwalQaKumlMuQ0Q,egg CH,48,JP,38,0,928,2019-01-27T03:35:23.000Z,fNdtsBgjuSU,大坂なおみが日本国籍として出場するきっかけを作った”ある人物”に称賛の嵐…全豪オープン優勝＆世界ランク１位の日本人初の歴史的な記録に一同驚愕…,59409
Sports,UCOySMx7ZIcrYpbXprsmzlfg,日本人も知らない 真のニッポン,39,JP,20,0,219,2019-01-29T02:24:19.000Z,yVe3PF1XNrg,【海外の反応】衝撃！サッカー日本代表　強豪イランに圧勝で決勝進出！海外「日本つよすぎ！」【日本人も知らない真のニッポン】,47875
